MitgliedsBeitragsID; JahresBeitrag ;ZahlArt;LetzteBeitragsZahlung
159; 60 € ;Abbuchung;
160; 92 € ;Dauerauftrag;
161; 60 € ;Abbuchung;
162; 60 € ;Abbuchung;
163; 70 € ;;
164; 60 € ;Dauerauftrag;
165; 60 € ;Abbuchung;
166;;;
167; 120 € ;Abbuchung;
168; 60 € ;;
169; 60 € ;Abbuchung;
170; 60 € ;Dauerauftrag;
171; 120 € ;Dauerauftrag;
172; 100 € ;Abbuchung;
173; 60 € ;Abbuchung;
174; 60 € ;Abbuchung;
175; 60 € ;Abbuchung;
176; 60 € ;Abbuchung;
177; 60 € ;Abbuchung;
178; 60 € ;Abbuchung;
179; 60 € ;Abbuchung;
180; 70 € ;Abbuchung;
181; 60 € ;Abbuchung;
182; 240 € ;Dauerauftrag;
183; 60 € ;Abbuchung;
184;;;
185; 84 € ;;
186; 60 € ;Dauerauftrag;
187; 60 € ;Abbuchung;
188; 60 € ;Abbuchung;
189; 60 € ;Abbuchung;
190; 60 € ;Dauerauftrag;
;;;
;;;
193; 60 € ;Abbuchung;
194; 120 € ;Dauerauftrag;
195; 60 € ;Abbuchung;
196; 60 € ;Abbuchung;
197; 60 € ;Abbuchung;
198; 60 € ;Abbuchung;
;;;
200; 60 € ;Abbuchung;
201; 60 € ;Abbuchung;
202; 60 € ;Abbuchung;
203; 60 € ;Abbuchung;
204; 60 € ;Abbuchung;
205; 60 € ;Abbuchung;
206; 60 € ;Abbuchung;
207; 60 € ;Abbuchung;
208; 60 € ;Abbuchung;
209; 60 € ;Abbuchung;
210; 60 € ;Abbuchung;
211; 60 € ;Abbuchung;
212; 60 € ;Abbuchung;
213; 60 € ;;
214; 60 € ;Abbuchung;
215; 60 € ;Abbuchung;
216; 60 € ;;
217; 60 € ;Abbuchung;
218; 60 € ;Abbuchung;
